ds,actual,lstm_test,lstm_forecast
2015-05-04,252.0,,
2015-05-05,245.0,,
2015-05-06,243.0,,
2015-05-07,240.0,,
2015-05-08,242.0,,
2015-05-11,240.0,,
2015-05-12,246.0,,
2015-05-13,255.0,,
2015-05-15,252.0,,
2015-05-18,262.0,,
2015-05-19,278.0,,
2015-05-20,270.0,,
2015-05-21,285.0,,
2015-05-22,290.0,,
2015-05-25,278.0,,
2015-05-26,278.0,,
2015-05-27,278.0,,
2015-05-28,280.0,,
2015-05-29,292.0,,
2015-06-01,290.0,,
2015-06-03,282.0,,
2015-06-04,285.0,,
2015-06-05,278.0,,
2015-06-08,278.0,,
2015-06-09,262.0,,
2015-06-10,265.0,,
2015-06-11,272.0,,
2015-06-12,270.0,,
2015-06-15,262.0,,
2015-06-16,262.0,,
2015-06-17,270.0,,
2015-06-18,268.0,,
2015-06-19,270.0,,
2015-06-22,270.0,,
2015-06-23,285.0,,
2015-06-24,282.0,,
2015-06-25,285.0,,
2015-06-26,282.0,,
2015-06-29,282.0,,
2015-06-30,282.0,,
2015-07-01,282.0,,
2015-07-02,280.0,,
2015-07-03,285.0,,
2015-07-06,278.0,,
2015-07-07,285.0,,
2015-07-08,275.0,,
2015-07-09,262.0,,
2015-07-10,255.0,,
2015-07-13,262.0,,
2015-07-14,268.0,,
2015-07-15,260.0,,
2015-07-22,260.0,,
2015-07-23,260.0,,
2015-07-24,262.0,,
2015-07-27,258.0,,
2015-07-28,255.0,,
2015-07-29,255.0,,
2015-07-30,255.0,,
2015-07-31,272.0,,
2015-08-03,268.0,,
2015-08-04,258.0,,
2015-08-05,250.0,,
2015-08-06,250.0,,
2015-08-07,248.0,,
2015-08-10,250.0,,
2015-08-11,242.0,,
2015-08-12,232.0,,
2015-08-13,238.0,,
2015-08-14,238.0,,
2015-08-18,232.0,,
2015-08-19,228.0,,
2015-08-20,220.0,,
2015-08-21,230.0,,
2015-08-24,230.0,,
2015-08-25,226.0,,
2015-08-26,229.0,,
2015-08-27,232.0,,
2015-08-28,236.0,,
2015-08-31,255.0,,
2015-09-01,255.0,,
2015-09-02,255.0,,
2015-09-03,255.0,,
2015-09-04,258.0,,
2015-09-07,248.0,,
2015-09-08,247.0,,
2015-09-09,245.0,,
2015-09-10,245.0,,
2015-09-11,244.0,,
2015-09-14,244.0,,
2015-09-15,245.0,,
2015-09-16,246.0,,
2015-09-17,249.0,,
2015-09-18,250.0,,
2015-09-21,250.0,,
2015-09-22,249.0,,
2015-09-23,244.0,,
2015-09-25,246.0,,
2015-09-28,240.0,,
2015-09-29,239.0,,
2015-09-30,245.0,,
2015-10-01,242.0,,
2015-10-02,242.0,,
2015-10-05,245.0,,
2015-10-06,248.0,,
2015-10-07,248.0,,
2015-10-08,252.0,,
2015-10-09,250.0,,
2015-10-12,249.0,,
2015-10-13,242.0,,
2015-10-15,239.0,,
2015-10-16,244.0,,
2015-10-19,246.0,,
2015-10-20,248.0,,
2015-10-21,250.0,,
2015-10-22,250.0,,
2015-10-23,250.0,,
2015-10-26,252.0,,
2015-10-27,248.0,,
2015-10-28,248.0,,
2015-10-29,244.0,,
2015-10-30,242.0,,
2015-11-02,242.0,,
2015-11-03,244.0,,
2015-11-04,245.0,,
2015-11-05,248.0,,
2015-11-06,250.0,,
2015-11-09,249.0,,
2015-11-10,250.0,,
2015-11-11,255.0,,
2015-11-12,260.0,,
2015-11-13,258.0,,
2015-11-16,252.0,,
2015-11-17,262.0,,
2015-11-18,262.0,,
2015-11-19,272.0,,
2015-11-20,278.0,,
2015-11-23,280.0,,
2015-11-24,278.0,,
2015-11-25,278.0,,
2015-11-26,275.0,,
2015-11-27,272.0,,
2015-11-30,278.0,,
2015-12-01,270.0,,
2015-12-02,270.0,,
2015-12-03,278.0,,
2015-12-04,270.0,,
2015-12-07,268.0,,
2015-12-08,272.0,,
2015-12-10,268.0,,
2015-12-11,265.0,,
2015-12-14,262.0,,
2015-12-15,262.0,,
2015-12-16,268.0,,
2015-12-17,272.0,,
2015-12-18,270.0,,
2015-12-21,275.0,,
2015-12-22,272.0,,
2015-12-23,270.0,,
2015-12-28,272.0,,
2015-12-29,268.0,,
2015-12-30,275.0,,
2016-01-04,272.0,,
2016-01-05,265.0,,
2016-01-06,262.0,,
2016-01-07,268.0,,
2016-01-08,262.0,,
2016-01-11,258.0,,
2016-01-12,258.0,,
2016-01-13,258.0,,
2016-01-14,252.0,,
2016-01-15,250.0,,
2016-01-18,250.0,,
2016-01-19,250.0,,
2016-01-20,250.0,,
2016-01-21,258.0,,
2016-01-22,250.0,,
2016-01-25,250.0,,
2016-01-26,250.0,,
2016-01-27,249.0,,
2016-01-28,252.0,,
2016-01-29,250.0,,
2016-02-01,250.0,,
2016-02-02,252.0,,
2016-02-03,250.0,,
2016-02-04,250.0,,
2016-02-05,255.0,,
2016-02-09,250.0,,
2016-02-10,250.0,,
2016-02-11,252.0,,
2016-02-12,255.0,,
2016-02-15,252.0,,
2016-02-16,255.0,,
2016-02-17,255.0,,
2016-02-18,255.0,,
2016-02-19,252.0,,
2016-02-22,252.0,,
2016-02-23,250.0,,
2016-02-24,250.0,,
2016-02-25,250.0,,
2016-02-26,250.0,,
2016-02-29,255.0,,
2016-03-01,252.0,,
2016-03-02,252.0,,
2016-03-03,255.0,,
2016-03-04,255.0,,
2016-03-07,255.0,,
2016-03-08,252.0,,
2016-03-10,250.0,,
2016-03-11,252.0,,
2016-03-14,258.0,,
2016-03-15,262.0,,
2016-03-16,265.0,,
2016-03-17,262.0,,
2016-03-18,260.0,,
2016-03-21,260.0,,
2016-03-22,260.0,,
2016-03-23,255.0,,
2016-03-24,255.0,,
2016-03-28,252.0,,
2016-03-29,252.0,,
2016-03-30,255.0,,
2016-03-31,250.0,,
2016-04-01,250.0,,
2016-04-04,252.0,,
2016-04-05,252.0,,
2016-04-06,252.0,,
2016-04-07,250.0,,
2016-04-08,250.0,,
2016-04-11,250.0,,
2016-04-12,252.0,,
2016-04-13,250.0,,
2016-04-14,250.0,,
2016-04-15,250.0,,
2016-04-18,250.0,,
2016-04-19,252.0,,
2016-04-20,252.0,,
2016-04-21,250.0,,
2016-04-22,250.0,,
2016-04-25,250.0,,
2016-04-26,250.0,,
2016-04-27,250.0,,
2016-04-28,250.0,,
2016-04-29,250.0,,
2016-05-02,265.0,,
2016-05-03,262.0,,
2016-05-04,255.0,,
2016-05-09,252.0,,
2016-05-10,252.0,,
2016-05-11,252.0,,
2016-05-12,250.0,,
2016-05-13,258.0,,
2016-05-16,258.0,,
2016-05-17,258.0,,
2016-05-18,260.0,,
2016-05-19,262.0,,
2016-05-20,265.0,,
2016-05-23,268.0,,
2016-05-24,268.0,,
2016-05-25,268.0,,
2016-05-26,255.0,,
2016-05-27,255.0,,
2016-05-30,258.0,,
2016-05-31,252.0,,
2016-06-01,250.0,,
2016-06-02,255.0,,
2016-06-03,260.0,,
2016-06-06,252.0,,
2016-06-07,252.0,,
2016-06-08,255.0,,
2016-06-09,252.0,,
2016-06-10,252.0,,
2016-06-13,252.0,,
2016-06-14,252.0,,
2016-06-15,250.0,,
2016-06-16,250.0,,
2016-06-17,252.0,,
2016-06-20,258.0,,
2016-06-21,252.0,,
2016-06-22,252.0,,
2016-06-23,255.0,,
2016-06-24,252.0,,
2016-06-27,252.0,,
2016-06-28,255.0,,
2016-06-29,255.0,,
2016-06-30,252.0,,
2016-07-01,250.0,,
2016-07-11,250.0,,
2016-07-12,248.0,,
2016-07-13,248.0,,
2016-07-14,250.0,,
2016-07-15,249.0,,
2016-07-18,249.0,,
2016-07-19,250.0,,
2016-07-20,249.0,,
2016-07-21,262.0,,
2016-07-22,285.0,,
2016-07-25,302.0,,
2016-07-26,308.0,,
2016-07-27,302.0,,
2016-07-28,290.0,,
2016-07-29,288.0,,
2016-08-01,298.0,,
2016-08-02,290.0,,
2016-08-03,300.0,,
2016-08-04,298.0,,
2016-08-05,295.0,,
2016-08-08,298.0,,
2016-08-09,298.0,,
2016-08-10,295.0,,
2016-08-11,290.0,,
2016-08-12,288.0,,
2016-08-15,280.0,,
2016-08-16,280.0,,
2016-08-18,290.0,,
2016-08-19,285.0,,
2016-08-22,282.0,,
2016-08-23,295.0,,
2016-08-24,285.0,,
