"Date","Price","Open","High","Low","Vol.","Change %"
"04/28/2017","280","285","285","280","369.60K","0.00%"
"04/27/2017","280","285","288","280","1.27M","-0.71%"
"04/26/2017","282","278","288","278","3.63M","1.44%"
"04/25/2017","278","278","285","278","2.08M","1.09%"
"04/21/2017","275","282","282","275","1.74M","-1.79%"
"04/20/2017","280","280","282","280","3.31M","0.00%"
"04/18/2017","280","285","285","280","1.18M","0.00%"
"04/17/2017","280","280","282","280","1.97M","0.00%"
"04/13/2017","280","285","288","280","3.24M","-1.75%"
"04/12/2017","285","288","288","282","2.14M","0.00%"
"04/11/2017","285","288","292","285","3.80M","-1.04%"
"04/10/2017","288","282","288","282","3.46M","2.13%"
"04/07/2017","282","285","290","282","2.42M","-1.05%"
"04/06/2017","285","288","290","285","3.03M","-1.04%"
"04/05/2017","288","290","290","288","2.26M","1.05%"
"04/04/2017","285","288","290","285","3.23M","0.00%"
"04/03/2017","285","285","292","280","8.50M","1.06%"
"03/31/2017","282","285","290","282","3.96M","0.00%"
"03/30/2017","282","280","285","280","5.08M","0.71%"
"03/29/2017","280","278","285","278","2.68M","0.72%"
"03/27/2017","278","282","282","278","1.78M","1.09%"
"03/24/2017","275","280","280","275","2.13M","-1.79%"
"03/23/2017","280","282","282","278","9.26M","1.82%"
"03/22/2017","275","280","282","275","1.74M","0.00%"
"03/21/2017","275","280","280","275","964.60K","0.00%"
"03/20/2017","275","280","282","275","2.27M","-1.79%"
"03/17/2017","280","280","282","278","7.64M","0.00%"
"03/16/2017","280","278","285","278","5.81M","1.82%"
"03/15/2017","275","278","278","275","3.97M","0.00%"
"03/14/2017","275","275","280","275","2.51M","0.00%"
"03/13/2017","275","278","282","275","6.95M","-1.08%"
"03/10/2017","278","278","280","278","907.40K","0.00%"
"03/09/2017","278","278","282","278","888.20K","0.00%"
"03/08/2017","278","278","282","278","1.85M","0.00%"
"03/07/2017","278","275","280","275","461.80K","1.09%"
"03/06/2017","275","278","285","275","2.24M","0.00%"
"03/03/2017","275","280","280","275","5.01M","-1.79%"
"03/02/2017","280","280","285","280","1.65M","0.72%"
"03/01/2017","278","278","288","278","4.55M","-1.42%"
"02/28/2017","282","280","285","278","1.89M","0.00%"
"02/27/2017","282","288","290","282","544.80K","-2.08%"
"02/24/2017","288","285","290","275","8.89M","1.05%"
"02/23/2017","285","282","288","282","974.40K","-1.04%"
"02/22/2017","288","280","290","280","3.33M","2.13%"
"02/21/2017","282","282","288","280","2.48M","0.00%"
"02/20/2017","282","285","288","282","634.00K","0.00%"
"02/17/2017","282","285","288","280","2.86M","-1.05%"
"02/16/2017","285","288","290","285","3.63M","-1.04%"
"02/14/2017","288","288","290","285","3.73M","0.00%"
"02/13/2017","288","292","292","272","5.76M","2.86%"
"02/10/2017","280","285","288","280","1.79M","-1.75%"
"02/09/2017","285","288","288","285","648.80K","-1.04%"
"02/08/2017","288","285","290","285","1.88M","1.05%"
"02/07/2017","285","288","290","285","1.81M","-1.04%"
"02/06/2017","288","288","292","285","6.67M","1.05%"
"02/03/2017","285","285","288","282","6.51M","0.00%"
"02/02/2017","285","280","288","278","2.87M","1.79%"
"02/01/2017","280","280","280","275","1.06M","0.00%"
"01/31/2017","280","285","288","280","491.60K","-1.75%"
"01/30/2017","285","285","288","280","3.63M","0.00%"
"01/27/2017","285","278","285","275","11.27M","2.52%"
"01/26/2017","278","275","278","272","5.01M","1.09%"
"01/25/2017","275","275","278","272","608.80K","0.00%"
"01/24/2017","275","278","278","272","1.39M","0.00%"
"01/23/2017","275","272","278","270","3.23M","1.85%"
"01/20/2017","270","270","275","270","10.00M","-2.88%"
"01/19/2017","278","275","278","272","1.89M","2.21%"
"01/18/2017","272","272","278","270","8.14M","0.74%"
"01/17/2017","270","270","275","270","2.26M","0.00%"
"01/16/2017","270","272","272","270","2.39M","0.00%"
"01/13/2017","270","262","278","262","16.86M","1.89%"
"01/12/2017","265","260","265","258","6.60M","1.92%"
"01/11/2017","260","262","265","260","1.70M","-0.76%"
"01/10/2017","262","265","265","260","2.88M","-1.13%"
"01/09/2017","265","268","268","262","3.74M","-1.12%"
"01/06/2017","268","260","268","260","2.85M","3.88%"
"01/05/2017","258","260","262","255","11.61M","0.00%"
"01/04/2017","258","260","260","255","1.72M","1.18%"
"01/03/2017","255","260","262","255","759.00K","-1.92%"
"12/30/2016","260","260","270","258","4.49M","-1.89%"
"12/29/2016","265","260","268","260","2.15M","2.71%"
"12/28/2016","258","255","262","255","2.17M","1.18%"
"12/27/2016","255","258","258","255","3.50M","0.00%"
"12/23/2016","255","265","265","255","5.70M","-1.16%"
"12/22/2016","258","270","280","252","10.63M","-4.44%"
"12/21/2016","270","270","275","270","547.20K","0.00%"
"12/20/2016","270","270","275","270","782.20K","0.00%"
"12/19/2016","270","270","272","268","1.07M","-1.82%"
"12/16/2016","275","270","278","270","602.20K","1.85%"
"12/15/2016","270","270","272","268","4.44M","-0.74%"
"12/14/2016","272","275","278","272","1.06M","-1.09%"
"12/13/2016","275","272","275","270","2.70M","1.10%"
"12/09/2016","272","275","280","272","4.02M","-2.16%"
"12/08/2016","278","275","278","272","3.80M","2.21%"
"12/07/2016","272","272","278","270","1.90M","-1.09%"
"12/06/2016","275","275","275","272","741.80K","-1.08%"
"12/05/2016","278","275","278","275","1.32M","1.09%"
"12/02/2016","275","280","280","272","1.32M","0.00%"
"12/01/2016","275","275","275","272","1.87M","1.10%"
